target_gene,n_cells,median_umi_per_cell
SH3BP4,10,54551.0
ZNF581,10,53803.5
ANXA6,10,55175.0
PACSIN3,10,54088.0
MGST1,10,54217.5
IGF1R,10,53993.0
ITGAV,10,55356.0
SLIRP,10,54438.5
CTSV,10,53173.0
MTFR1,10,53795.0
KLHDC2,10,54958.0
SMARCB1,10,54713.5
PAXIP1,10,51328.0
KRT18,10,54021.5
EHMT1,10,52348.0
HMGXB4,10,55067.0
CSK,10,53039.0
DOT1L,10,49547.5
MAT2A,10,54425.5
CENPB,10,55860.0
TUSC3,10,55698.0
USF2,10,50348.0
HDAC8,10,55132.5
CXCL12,10,56202.0
THY1,10,54760.0
GSTZ1,10,54496.0
COX4I1,10,56227.0
ACLY,10,55705.0
COX6C,10,54455.0
ARPC2,10,50745.0
UQCRB,10,56613.0
NFE2L1,10,53532.5
VCL,10,52835.5
HTATSF1,10,54518.0
HMGCR,10,55182.0
JMJD8,10,53365.0
JAZF1,10,55960.0
GNG12,10,52746.0
DPH2,10,51791.5
STRAP,10,63176.0
PPP2R3C,10,56580.0
SMARCE1,10,49610.0
HDAC3,10,56260.0
TCF7L2,10,57366.5
SUPV3L1,10,51024.0
EIF3H,10,53504.0
FUBP1,10,55334.0
WAC,10,60363.0
ZNF598,10,54046.0
MAX,10,38650.0
